"","genotype","DAP","variable","DAP.diffs","variable.AGR","variable.RGR","variable.smooth","variable.AGR.smooth","variable.RGR.smooth","Digital.biomass","col","row","line","rep"
"80","Check1_3",18,4948740,1,1743290,0.434280512590949,4402636.68372256,1018951.02746997,0.212324783560302,4948740,4,5,"Check1",3
"81","Check1_3",19,5013030,1,64290,0.012907523980054,5678415.5684417,1261194.84512013,0.217638172830245,5013030,4,5,"Check1",3
"82","Check1_3",20,6346895,1,1333865,0.235925194234799,7222966.01342947,1542998.30021874,0.222535227358105,6107090,4,5,"Check1",3
"83","Check1_3",20,6346895,1,1333865,0.235925194234799,7222966.01342947,1542998.30021874,0.222535227358105,6586700,4,5,"Check1",3
"84","Check1_3",21,8204480,1,1857585,0.256714629604748,9025458.02787657,1811516.32786627,0.221657884978833,8204480,4,5,"Check1",3
"85","Check1_3",22,14211100,1,6006620,0.549343002843982,10991880.4586738,1976657.99619964,0.207477748228404,14211100,4,5,"Check1",3
"86","Check1_3",23,10564200,1,-3646900,-0.296552422909127,13012410.3149931,2023308.7254802,0.181748584085315,10564200,4,5,"Check1",3
"87","Check1_3",24,13583500,1,3019300,0.251384894403821,15137667.6390085,2133719.33621694,0.163600564825473,13583500,4,5,"Check1",3
"88","Check1_3",25,20585300,1,7001800,0.415721407952262,17282598.1574292,2156335.29809108,0.144287159759597,20585300,4,5,"Check1",3
"89","Check1_3",26,18746500,1,-1838800,-0.0935701605090371,19272650.9184308,1990668.85080204,0.117782078057081,18746500,4,5,"Check1",3
"90","Check1_3",27,20788500,1,2042000,0.103392880869467,21119062.3137354,1845006.98329876,0.0961298793959186,20788500,4,5,"Check1",3
"91","Check1_3",28,20518900,1,-269600,-0.0130535365669436,22847392.0452276,1734439.79557027,0.0807198673006741,20518900,4,5,"Check1",3
